pi_block_linear_proc2,7.973570
pi_block_linear_proc2,7.419306
pi_block_linear_proc2,9.845052
pi_block_linear_proc2,11.746748
pi_block_linear_proc2,9.395035
pi_block_linear_proc2,13.536303
pi_block_linear_proc2,8.649242
pi_block_linear_proc2,8.157861
pi_block_linear_proc2,13.677488
pi_block_linear_proc2,17.291887
pi_block_linear_proc4,11.328150
pi_block_linear_proc4,5.061493
pi_block_linear_proc4,3.590907
pi_block_linear_proc4,4.738275
pi_block_linear_proc4,9.943575
pi_block_linear_proc4,15.414149
pi_block_linear_proc4,17.757325
pi_block_linear_proc4,5.102066
pi_block_linear_proc4,5.052664
pi_block_linear_proc4,10.435720
pi_block_linear_proc8,9.679918
pi_block_linear_proc8,7.282913
pi_block_linear_proc8,3.734314
pi_block_linear_proc8,5.789363
pi_block_linear_proc8,5.328847
pi_block_linear_proc8,4.557894
pi_block_linear_proc8,6.207353
pi_block_linear_proc8,4.715211
pi_block_linear_proc8,7.345866
pi_block_linear_proc8,5.559897
pi_block_linear_proc12,4.646374
pi_block_linear_proc12,5.018773
pi_block_linear_proc12,4.088207
pi_block_linear_proc12,2.725341
pi_block_linear_proc12,3.661201
pi_block_linear_proc12,3.716372
pi_block_linear_proc12,2.648905
pi_block_linear_proc12,4.223227
pi_block_linear_proc12,4.365891
pi_block_linear_proc12,3.679196
pi_block_linear_proc16,2.917756
pi_block_linear_proc16,2.615773
pi_block_linear_proc16,1.939562
pi_block_linear_proc16,2.209945
pi_block_linear_proc16,3.671285
pi_block_linear_proc16,3.965873
pi_block_linear_proc16,3.603888
pi_block_linear_proc16,3.468835
pi_block_linear_proc16,2.636154
pi_block_linear_proc16,3.396759
pi_block_tree_proc2,7.375789
pi_block_tree_proc2,7.016883
pi_block_tree_proc2,6.943615
pi_block_tree_proc2,6.660113
pi_block_tree_proc2,6.449304
pi_block_tree_proc2,6.534737
pi_block_tree_proc2,6.556875
pi_block_tree_proc2,6.489222
pi_block_tree_proc2,6.533682
pi_block_tree_proc2,6.406238
pi_block_tree_proc4,3.480949
pi_block_tree_proc4,3.421233
pi_block_tree_proc4,3.478964
pi_block_tree_proc4,3.505246
pi_block_tree_proc4,3.550987
pi_block_tree_proc4,3.468000
pi_block_tree_proc4,3.448020
pi_block_tree_proc4,3.520261
pi_block_tree_proc4,3.458514
pi_block_tree_proc4,4.105727
pi_block_tree_proc8,1.900441
pi_block_tree_proc8,2.216161
pi_block_tree_proc8,4.865716
pi_block_tree_proc8,4.099688
pi_block_tree_proc8,4.041802
pi_block_tree_proc8,5.551248
pi_block_tree_proc8,5.007814
pi_block_tree_proc8,4.011084
pi_block_tree_proc8,1.840653
pi_block_tree_proc8,2.707483
pi_block_tree_proc12,2.297386
pi_block_tree_proc12,1.550434
pi_block_tree_proc12,2.334623
pi_block_tree_proc12,2.365886
pi_block_tree_proc12,1.758984
pi_block_tree_proc12,2.351019
pi_block_tree_proc12,1.256229
pi_block_tree_proc12,1.728832
pi_block_tree_proc12,2.970662
pi_block_tree_proc12,2.006930
pi_block_tree_proc16,1.952438
pi_block_tree_proc16,1.768652
pi_block_tree_proc16,2.244099
pi_block_tree_proc16,2.578702
pi_block_tree_proc16,2.714426
pi_block_tree_proc16,2.374585
pi_block_tree_proc16,2.373728
pi_block_tree_proc16,2.806339
pi_block_tree_proc16,2.698421
